URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLES PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,0.139,0.0,0.9922,0.9922,14.652173913043478,28.40909090909091,17.224505928853755,0.05974025974025974,50,385,2.1079545454545454,17,4.07012987012987
blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,0.151,0.036,0.9994,0.9994,21.77777777777778,38.951310861423224,24.291635455680403,0.039301310043668124,312,1603,2.4244694132334583,24,4.605739238927012
blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,0.114,0.052,0.9967,0.9967,22.065217391304348,51.59235668789809,29.463029631680975,0.038525963149078725,324,1194,2.754777070063694,17,5.175041876046901
blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,0.099,0.144,-0.995,-0.995,26.63157894736842,47.687400318979265,29.727591706539073,0.03198653198653199,299,1188,2.577352472089314,12,4.997474747474747
blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,0.105,0.005,0.9951,0.9951,23.178571428571427,35.17060367454068,23.339670041244844,0.03763440860215054,134,744,2.251968503937008,11,4.713709677419355
blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,0.149,0.022,0.9997,0.9997,28.129032258064516,45.40337711069419,29.412963747503483,0.03064755313890262,484,2023,2.5356472795497185,19,5.069698467622343
blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,0.082,0.137,-0.9967,-0.9967,19.23913043478261,37.47534516765286,22.68579024097419,0.04518664047151277,190,1018,2.309664694280079,8,4.512770137524558
blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,0.104,0.033,0.9948,0.9948,16.545454545454547,55.26881720430107,28.72570869990225,0.049773755656108594,257,884,2.836559139784946,5,5.211538461538462
blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,0.15,0.101,0.9923,0.9923,22.487179487179485,52.92096219931271,30.16325667459688,0.037107516650808754,308,1051,2.7302405498281788,8,5.225499524262607
blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,0.154,0.125,0.9848,0.9848,26.526315789473685,50.06711409395973,30.637371953373368,0.03325554259043174,373,1714,2.577181208053691,44,4.610851808634773
blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,0.128,0.039,0.999,0.999,26.6,47.08860759493671,29.475443037974685,0.03278688524590164,372,1525,2.6050632911392406,9,5.014426229508197
blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,0.13,0.02,0.9992,0.9992,28.660714285714285,36.49946638207044,26.064072267113886,0.03114571746384872,342,1798,2.405549626467449,26,4.916573971078977
blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,0.175,0.01,0.9985,0.9985,30.68421052631579,48.54368932038835,31.69115993868166,0.029141104294478526,150,652,2.559870550161812,15,4.840490797546012
blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,0.0,0.0,0.0,0.0,12.0,16.666666666666668,11.466666666666669,0.06666666666666667,1,15,1.8333333333333333,0,3.6
blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,0.206,0.055,0.9997,0.9997,25.347826086956523,38.29479768786127,25.457049509927117,0.03435399551904406,265,1339,2.2991329479768785,18,4.7430918595967135
blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,0.206,0.055,0.9997,0.9997,25.347826086956523,38.29479768786127,25.457049509927117,0.03435399551904406,265,1339,2.2991329479768785,18,4.7430918595967135
blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,0.118,0.019,0.9984,0.9984,23.244444444444444,41.666666666666664,25.964444444444446,0.03734439834024896,255,1205,2.3937908496732025,14,4.729460580912863
blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,0.102,0.022,0.9965,0.9965,29.696969696969695,43.31550802139037,29.204991087344027,0.027918781725888325,243,1182,2.4331550802139037,10,4.532994923857868
blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,0.133,0.011,0.9995,0.9995,22.589041095890412,43.89140271493213,26.592177524329017,0.038995726495726496,388,1872,2.3529411764705883,71,4.564636752136752
blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,0.439,0.0,0.5719,0.5719,4.0,33.333333333333336,14.933333333333335,0.2,2,10,2.5,0,5.8
blackassign0021,https://insights.blackcoffer.com/negative-effects-of-marketing-on-society/,0.097,0.109,-0.9138,-0.9138,24.341463414634145,43.02721088435374,26.947469719595155,0.03574542284219703,253,1147,2.3843537414965987,21,4.768090671316478
blackassign0022,https://insights.blackcoffer.com/how-advertisement-marketing-affects-business/,0.096,0.061,0.9228,0.9228,16.75,36.13861386138614,21.155445544554457,0.05274725274725275,73,455,2.3168316831683167,10,4.362637362637362
blackassign0023,https://insights.blackcoffer.com/rising-it-cities-will-impact-the-economy-environment-infrastructure-and-city-life-by-the-year-2035/,0.135,0.035,0.9993,0.9993,24.30909090909091,29.834254143646408,21.65733802109493,0.036231884057971016,216,1518,2.2251381215469612,32,4.357707509881423
blackassign0024,https://insights.blackcoffer.com/rise-of-ott-platform-and-its-impact-on-entertainment-industry-by-the-year-2030/,0.139,0.015,0.9961,0.9961,33.25,38.613861386138616,28.745544554455446,0.025518341307814992,117,627,2.2904290429042904,8,4.3971291866028706
blackassign0025,https://insights.blackcoffer.com/rise-of-electric-vehicles-and-its-impact-on-livelihood-by-2040/,0.086,0.039,0.9931,0.9931,45.904761904761905,26.045627376425855,28.780155712475107,0.01821335646140503,137,1153,2.011406844106464,25,3.9132697311361664
blackassign0026,https://insights.blackcoffer.com/rise-of-electric-vehicle-and-its-impact-on-livelihood-by-the-year-2040/,0.086,0.035,0.985,0.985,23.333333333333332,37.5,24.333333333333332,0.03582089552238806,186,1005,2.256048387096774,12,4.325373134328358
blackassign0027,https://insights.blackcoffer.com/oil-prices-by-the-year-2040-and-how-it-will-impact-the-world-economy/,0.114,0.062,0.9965,0.9965,26.163265306122447,29.846153846153847,22.403767660910518,0.03331067301155676,194,1471,2.056923076923077,50,3.9782460910944937
blackassign0028,https://insights.blackcoffer.com/an-outlook-of-healthcare-by-the-year-2040-and-how-it-will-impact-human-lives/,0.148,0.044,0.9992,0.9992,31.636363636363637,36.30017452006981,27.17461526257338,0.026442307692307692,208,1248,2.2547993019197206,20,4.368589743589744
blackassign0029,https://insights.blackcoffer.com/ai-in-healthcare-to-improve-patient-outcomes/,0.266,0.0,0.4404,0.4404,9.0,28.571428571428573,15.028571428571428,0.1,2,10,2.142857142857143,0,5.7
blackassign0030,https://insights.blackcoffer.com/what-if-the-creation-is-taking-over-the-creator/,0.141,0.077,0.9982,0.9982,20.38235294117647,31.424581005586592,20.72277357870523,0.041949413942011106,225,1621,2.0977653631284916,51,4.044417026526835
blackassign0031,https://insights.blackcoffer.com/what-jobs-will-robots-take-from-humans-in-the-future/,0.075,0.036,0.9893,0.9893,24.352941176470587,41.133263378803775,26.194481822109744,0.03632478632478633,392,1872,2.422875131164743,29,4.732905982905983
blackassign0032,https://insights.blackcoffer.com/will-machine-replace-the-human-in-the-future-of-work/,0.141,0.032,0.9995,0.9995,20.276315789473685,29.21212121212121,19.79537480063796,0.04367816091954023,241,1740,2.0872727272727274,50,4.225862068965517
blackassign0033,https://insights.blackcoffer.com/will-ai-replace-us-or-work-with-us/,0.148,0.049,0.9996,0.9996,24.62686567164179,34.53318335208099,23.664019609489113,0.03496868475991649,307,1916,2.1946006749156357,58,4.282881002087683
blackassign0034,https://insights.blackcoffer.com/man-and-machines-together-machines-are-more-diligent-than-humans-blackcoffe/,0.167,0.039,0.9995,0.9995,26.41304347826087,33.54531001589825,23.98334139766365,0.03278688524590164,211,1403,2.1748807631160574,49,4.233784746970777
blackassign0035,https://insights.blackcoffer.com/in-future-or-in-upcoming-years-humans-and-machines-are-going-to-work-together-in-every-field-of-work/,0.103,0.025,0.9953,0.9953,17.414634146341463,39.53488372093023,22.77980714690868,0.049160671462829736,153,834,2.242894056847545,17,4.279376498800959
blackassign0036,https://insights.blackcoffer.com/how-neural-networks-can-be-applied-in-various-areas-in-the-future/,0.0,0.0,0.0,0.0,5.0,25.0,12.0,0.16666666666666666,1,6,1.75,0,5.166666666666667
blackassign0037,https://insights.blackcoffer.com/how-machine-learning-will-affect-your-business/,0.164,0.052,0.9983,0.9983,23.166666666666668,26.358695652173914,19.810144927536232,0.0379746835443038,97,790,1.9646739130434783,33,4.1455696202531644
blackassign0038,https://insights.blackcoffer.com/deep-learning-impact-on-areas-of-e-learning/,0.147,0.045,0.9998,0.9998,30.405797101449274,34.229390681003586,25.854075112981146,0.028942953020134228,382,2384,2.2159498207885306,51,4.243288590604027
blackassign0039,https://insights.blackcoffer.com/how-to-protect-future-data-and-its-privacy-blackcoffer/,0.12,0.097,0.9932,0.9932,20.806818181818183,32.453567937438905,21.30415444770284,0.03976502485314053,332,2213,2.2248289345063537,79,4.148215092634433
blackassign0040,https://insights.blackcoffer.com/how-machines-ai-automations-and-robo-human-are-effective-in-finance-and-banking/,0.137,0.048,0.9989,0.9989,27.78048780487805,40.4320987654321,27.285034628124063,0.03238546603475513,262,1266,2.390432098765432,30,4.87914691943128
blackassign0041,https://insights.blackcoffer.com/ai-human-robotics-machine-future-planet-blackcoffer-thinking-jobs-workplace/,0.13,0.066,0.998,0.998,17.96923076923077,31.295487627365357,19.70588735863845,0.04703328509406657,215,1382,2.0931586608442503,15,4.1620839363241675
blackassign0042,https://insights.blackcoffer.com/how-ai-will-change-the-world-blackcoffer/,0.138,0.036,0.9996,0.9996,49.09375,31.872509960159363,32.386503984063744,0.01839080459770115,240,1740,2.1660026560424965,59,4.235632183908046
blackassign0043,https://insights.blackcoffer.com/future-of-work-how-ai-has-entered-the-workplace/,0.0,0.0,0.0,0.0,11.0,28.571428571428573,15.82857142857143,0.07692307692307693,2,13,2.0,0,4.461538461538462
